section,day,subject,start_time,end_time,room,professor
F1,Sat,BEE,09:30,10:30,CF-13,N Ag
F1,Sat,Sports-I,10:30,11:30,,
F1,Sat,CSK,11:30,12:30,CF-13,RC
F1,Sat,CAMD,13:30,14:30,CF-01,AP
F1,Sat,MPWS,14:30,15:30,DG-04,BB
F2,Sat,BME,08:30,09:30,CF-13,AP
F2,Sat,BEE,09:30,10:30,CF-13,N Ag
F2,Sat,Sports-I,10:30,11:30,,
F2,Sat,CSK,11:30,12:30,CF-13,RC
F2,Sat,CAMD,13:30,14:30,CF-01,AP
F2,Sat,MPWS,14:30,15:30,DG-04,BB
G1,Mon,MPWS,08:30,10:30,DG-06,AS
G1,Mon,CAMD,10:30,11:30,CF-13,DP
G1,Mon,M,11:30,12:30,CF-13,MNM
G1,Mon,PH,13:30,14:30,CF-13,SG
G2,Mon,CAMD,08:30,10:30,CF-01,DP
G2,Mon,CAMD,10:30,11:30,CF-13,DP
G2,Mon,M,11:30,12:30,CF-13,MNM
G2,Mon,PH,13:30,14:30,CF-13,SG
G1,Tue,CAMD,08:30,10:30,CF-01,DP
G1,Tue,PH,10:30,11:30,CF-03,SG
G1,Tue,BME,13:30,14:30,CF-06,DP
G2,Tue,MPWS,08:30,10:30,DG-04,AS
G2,Tue,PH,10:30,11:30,CF-03,SG
G2,Tue,BME,13:30,14:30,CF-06,DP
G1,Wed,LG LAB,08:30,10:30,CS-23,RC
G1,Wed,PH,10:30,11:30,CF-07,SG
G1,Wed,BEE,11:30,12:30,CF-07,VR
G1,Wed,M,13:30,14:30,CF-06,MNM
G2,Wed,LG LAB,08:30,10:30,CS-23,RC
G2,Wed,PH,10:30,11:30,CF-07,SG
G2,Wed,BEE,11:30,12:30,CF-07,VR
G2,Wed,M,13:30,14:30,CF-06,MNM
G1,Thu,SWAYAM/NPTEL,08:30,10:30,,
G1,Thu,BEE,10:30,11:30,CF-07,VR
G1,Thu,CSK,11:30,12:30,CF-07,RC
G1,Thu,BME,13:30,14:30,CF-06,DP
